timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
1748615902289,MOD1,13932,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902289,MOD1,13933,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902299,MOD1,13943,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902300,MOD1,13944,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902311,MOD1,13954,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902312,MOD1,13955,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902323,MOD1,13965,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902323,MOD1,13966,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902333,MOD1,13976,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902334,MOD1,13977,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902344,MOD1,13987,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902345,MOD1,13988,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902355,MOD1,13998,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902356,MOD1,13999,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902366,MOD1,14009,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902367,MOD1,14010,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902376,MOD1,14020,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902377,MOD1,14021,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902388,MOD1,14031,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902388,MOD1,14032,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902399,MOD1,14042,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902399,MOD1,14043,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902410,MOD1,14053,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902410,MOD1,14054,12,0.00,0.00,0.00,0.00,0.00,0.00
